state,year,ndeath,nod,pod
WI,2020,681769,16886,0.024767919925957324
WI,2021,744606,19644,0.026381737455781984
WI,2022,748762,21860,0.02919485764501938
WI,2023,698198,20809,0.029803866524968563
WV,2015,265538,8230,0.030993680753790418
WV,2016,262060,9617,0.036697702816148974
WV,2017,268237,11836,0.04412515797596901
WV,2018,275716,10965,0.03976918278228322
WV,2019,273028,10079,0.036915627701188156
WV,2020,284588,13119,0.04609821918000759
WV,2021,329893,18067,0.05476624238768328
WV,2022,343343,16373,0.04768700687068034
WV,2023,303225,16384,0.05403248412894715
WY,2015,53812,1229,0.022838772021110534
WY,2016,52723,1138,0.02158450771010754
WY,2017,52181,871,0.016691899350338244
WY,2018,54073,763,0.014110554250735118
WY,2019,56144,797,0.014195639783414078
WY,2020,59815,1075,0.017972080581793864
WY,2021,69113,1190,0.017218178924370234
WY,2022,71183,1378,0.01935855471109675
WY,2023,63319,1519,0.023989639760577393
YC,2015,650136,10186,0.015667491109552463
YC,2016,643266,14518,0.02256920154337397
YC,2017,651189,17931,0.02753578454181505
YC,2018,659900,18129,0.02747234429459009
YC,2019,653118,17640,0.027008901913589886
YC,2020,897186,22193,0.024736230837306868
YC,2021,819625,29841,0.036408113466524325
YC,2022,735233,35336,0.04806095482656519
YC,2023,682155,38128,0.05589345529974859
